grams,count,sentiment
make america great,233,0.367647063
i will be,231,0.1641350236
america great again!,180,0.392929297
thank you for,142,0.3947368464
thank you to,130,0.3568181859
all of the,129,-0.01408450568
one of the,127,0.1791044778
the fake news,116,-0.4604838737
the united states,111,0.1267857168
looking forward to,108,0.4302752337
will be a,97,0.2441988984
will be interviewed,86,0.3000000056
will be on,83,0.1917647092
great honor to,83,0.4445783184
the people of,74,0.1506493529
look forward to,73,0.2959459497
think like a,72,0.2871794907
it was my,67,0.3882352991
thank you.,65,0.3130573284
crooked hillary clinton,65,-0.3084210569
it will be,61,0.3285714313
in order to,61,-0.0793650796
he is a,61,0.07211538404
thank you!,59,0.2739130464
be a great,58,0.3379310395
my great honor,58,0.4590909136
you for your,57,0.3245614095
fake news media,56,-0.4692307731
the white house,55,0.1178571452
to make america,54,0.2481481541
join me in,54,0.1166666685
great state of,54,0.353703708
the fact that,53,-0.1709090936
is a great,52,0.544230772
art of the,52,0.1680000027
was my great,52,0.4326923131
the great state,52,0.3581818228
like a champion,51,0.2721311505
is going to,51,-0.1440000015
are going to,48,0.1333333357
a lot of,47,0.2274509833
be interviewed on,47,0.291489367
he will be,46,0.3203389871
is a total,46,-0.3920000026
the failing @nytimes,46,-0.4980769266
run for president,45,0.06666666752
there is no,44,-0.09846153993
will make america,44,0.3477272789
had a great,43,0.4046511662
i want to,43,0.1893617042
was a great,42,0.3738095276
a great job,42,0.4442622971
of the united,42,0.1404761929
will be the,41,0.2186440708
for all of,41,0.1880952386
it is a,41,-0.05125000039
we will make,41,0.3651162852
this is a,40,-0.001851849672
to all of,40,0.2857142878
men and women,39,0.2875000041
be sure to,38,0.1880952397
on behalf of,37,0.2270270298
the art of,36,0.1980392198
will be in,36,0.2458646662
there was no,36,-0.25897436
out of the,36,-0.1930232596
– think like,36,0.3055555599
honor to welcome,36,0.3833333372
it was a,35,0.22647059
thoughts and prayers,34,0.235135138
my interview with,34,0.06176470483
we need to,34,0.1394736859
america great again,34,0.3681102404
we are going,34,0.1843750039
you are a,33,0.3622222266
going to be,33,0.008333333251
we need a,33,0.1062500003
is the best,33,0.4891891939
is not a,33,-0.1571428595
you have to,33,0.1410256435
president of the,33,0.06666666743
the only one,33,0.05151515364
you are the,33,0.2848484859
is one of,32,0.3225806468
at trump national,32,0.344117652
i'll be on,32,0.06363636549
the white house.,32,0.1178571452
our country is,32,0.1055555538
in the history,32,0.1000000008
the history of,32,0.1187499997
donald j. trump,32,0.182258066
be interviewed by,32,0.290625006
i look forward,32,0.2937500046
be able to,32,-0.1281250017
will be back,32,0.2393939432
has been a,31,0.09302325824
is doing a,31,0.2794117691
in the u.s.,31,-0.004878050307
an honor to,31,0.2562500052
will never be,30,-0.1300000004
will not be,30,-0.04545454658
to be a,30,-0.01967212949
all over the,30,0.01935483948
getting ready to,30,0.3133333368
a great honor,29,0.4951219555
of the deal,29,0.192727277
my @foxandfriends interview,29,-0.0800000002
will soon be,29,-0.009375001537
