,day,tag,sentiment,retweets,likes
0,3,MAGA,0.6000000238418579,7324.0,76846.77777777778
1,5,FakeNews,0.800000011920929,10254.0,83844.58333333333
2,10,MAGA,0.4000000059604645,15399.0,113384.5
3,11,FakeNews,-0.20000000298023224,29608.0,118040.0
4,14,AFBF100,0.4000000059604645,12524.0,102055.13333333333
5,21,MLKDay,0.0,21281.0,96903.93333333333
6,21,2020TAKEBACKTHEHOUSE,0.10000000149011612,21001.0,96903.93333333333
7,21,MLKDay,0.4000000059604645,17387.0,96903.93333333333
8,23,EnterSandman,0.30000001192092896,15340.0,77231.375
9,23,HOF2019,0.30000001192092896,15340.0,77231.375
10,27,HolocaustMemorialDay,0.0,12312.0,77350.66666666667
11,28,,,,
