year,tag,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2009,cpac2014,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,throwbackthursday,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,facts,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,SuperTuesday,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,TrumpTuesday,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,momoneymoproblems,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,14juillet,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,YVNCG,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,donthateontheCubes,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,OrlandoUnitedDay,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Hasmyrespect,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,BingeViewer,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Vancouver,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,timeforPROgress,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,epilepsy,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,VoteRed,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,VeteransDay,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,tweetthetruth,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,TrumpIsWithYou,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,NationalChampions,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,YomKippur,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,RepMikeKelly,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,WeNeedMoreRepublicansIn18,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,NH,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,GoldenGlobe,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,37years,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,WheresHillary,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Transformers,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,trumpturnberry,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,2A,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,CoastGuardDay,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,theprofit,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,illegals,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,donaldtrumpforprez,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,KeystonePipeline,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,CPAC2015,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,trumplife,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,ICYMI,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,realworldsolutions,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,opinionated,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,lookinggreat,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,agreatcause,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Debates,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Excellent,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,RememberOurVets,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,NewYearsEve,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,airports,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
2009,Oscars,",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,",",,,"
