tag,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
EnterSandman,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;","1,0.30000001192092896,15340.0,75579.0;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
politicalcrap,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;1,0.8999999761581421,239.0,651.0;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
KatesLaw,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;4,-0.02500000037252903,18120.0,74967.0;1,0.0,10378.0,46514.0;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
Apple,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;1,0.4000000059604645,18.0,27.0;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
NTXForum,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;1,-0.800000011920929,488.0,992.0;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
WCS16,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;1,0.30000001192092896,3678.0,12036.0;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
Sharpton,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;1,-0.10000000149011612,52.0,79.0;",",,,;1,-0.10000000149011612,26.0,40.0;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
prez,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;2,0.44999999552965164,16.5,18.0;,,,;,,,;,,,;,,,;,,,;,,,;1,0.0,28.0,27.0;,,,;,,,;","1,0.4000000059604645,9.0,17.0;,,,;,,,;1,0.10000000149011612,20.0,36.0;,,,;4,0.35000000335276127,17.0,34.25;1,0.10000000149011612,31.0,49.0;,,,;1,0.0,38.0,77.0;2,-0.05000000074505806,23.5,57.0;1,-0.10000000149011612,6.0,22.0;3,0.10000000397364299,15.333333333333334,36.0;","2,0.0,49.0,106.0;1,0.6000000238418579,12.0,22.0;1,0.0,20.0,46.0;3,0.0,10.333333333333334,24.666666666666668;4,0.17499999701976776,16.0,34.25;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
obamasfavorite,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;2,0.4000000059604645,69.5,35.0;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
Trade,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;1,0.20000000298023224,5574.0,13364.0;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
Rubio,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;1,0.0,662.0,1327.0;,,,;,,,;","1,0.10000000149011612,1522.0,3581.0;1,0.0,4102.0,9576.0;1,-0.8999999761581421,4408.0,10435.0;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
devastated,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;1,0.10000000149011612,16.0,26.0;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
FREEOURMARINE,",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;6,-0.10000000024835269,375.3333333333333,302.6666666666667;,,,;1,0.0,510.0,471.0;2,-0.15000000596046448,413.5,395.5;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;",",,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;,,,;"
