,day,tag,sentiment,retweets,likes
0,1,jairbolsonaro,0.699999988079071,7610.0,94796.26666666666
1,2,,,,
2,3,GOP,0.6000000238418579,7324.0,76846.77777777778
3,4,cvpayne,0.0,10801.0,70408.28571428571
4,5,LouDobbs,0.6000000238418579,12581.0,83844.58333333333
5,5,SpoxDHS,0.800000011920929,10254.0,83844.58333333333
6,5,CNN,0.800000011920929,10254.0,83844.58333333333
7,5,TSA,0.800000011920929,10254.0,83844.58333333333
8,5,nytimes,-0.5,18749.0,83844.58333333333
9,6,DRUDGE_REPORT,0.10000000149011612,17370.0,112463.0
10,6,WhiteHouse,0.0,17340.0,112463.0
11,7,,,,
12,8,,,,
